span,eta_tt_re
0.0,0.9745049035275904
0.001001001001001001,0.9742759723319397
0.002002002002002002,0.9740520290509281
0.003003003003003003,0.9738330700766683
0.004004004004004004,0.9736190911891137
0.005005005005005005,0.9734100875568185
0.006006006006006006,0.9732060537377538
0.007007007007007007,0.9730069836802595
0.008008008008008008,0.9728128707240499
0.009009009009009009,0.972623707601268
0.01001001001001001,0.9724394864377253
0.011011011011011011,0.9722601987540904
0.012012012012012012,0.9720858354672997
0.013013013013013013,0.9719163868919424
0.014014014014014014,0.9717518427417824
0.015015015015015015,0.9715921921313677
0.016016016016016016,0.9714374235776859
0.017017017017017015,0.9712875250019624
0.018018018018018018,0.9711424837314654
0.01901901901901902,0.9710022865014827
0.02002002002002002,0.9708669194572986
0.02102102102102102,0.9707363681563155
0.022022022022022022,0.9706106175702367
0.023023023023023025,0.970489652087327
0.024024024024024024,0.9703734555147726
0.025025025025025023,0.9702620110811034
0.026026026026026026,0.9701553014387319
0.02702702702702703,0.970053308666546
0.028028028028028028,0.969956014272595
0.029029029029029027,0.9698633991968773
0.03003003003003003,0.9697754438141828
0.031031031031031032,0.9696921279370437
0.03203203203203203,0.9696134308187546
0.03303303303303303,0.969539331156493
0.03403403403403403,0.9694698070945059
0.035035035035035036,0.9694048362273912
0.036036036036036036,0.9693443956034712
0.037037037037037035,0.9692884617282306
0.03803803803803804,0.9692370105678543
0.03903903903903904,0.9691900175528577
0.04004004004004004,0.9691474575817675
0.04104104104104104,0.9691093050249351
0.04204204204204204,0.9690755337283892
0.043043043043043044,0.9690461170178127
0.044044044044044044,0.9690210277025598
0.04504504504504504,0.9690002380798259
0.04604604604604605,0.9689837199388043
0.04704704704704705,0.9689714445650346
0.04804804804804805,0.968963382744745
0.04904904904904905,0.9689595047693453
0.050050050050050046,0.9689597804399691
0.05105105105105105,0.9689641790720946
0.05205205205205205,0.9689726695002836
0.05305305305305305,0.9689852200829717
0.05405405405405406,0.9690017987073604
0.055055055055055056,0.9690223727943806
0.056056056056056056,0.9690469093037556
0.057057057057057055,0.9690753747391327
0.058058058058058054,0.9691077351533024
0.05905905905905906,0.9691439561535042
0.06006006006006006,0.9691840029068088
0.06106106106106106,0.9692278401455875
0.062062062062062065,0.9692754321730582
0.06306306306306306,0.969326742868927
0.06406406406406406,0.9693817356950724
0.06506506506506507,0.9694403737013831
0.06606606606606606,0.9695026195315841
0.06706706706706707,0.9695684354292166
0.06806806806806806,0.9696377832436632
0.06906906906906907,0.9697106244362594
0.07007007007007007,0.9697869200864695
0.07107107107107107,0.9698666308981772
0.07207207207207207,0.9699497172060091
0.07307307307307308,0.9700361389817579
0.07407407407407407,0.9701258558408861
0.07507507507507508,0.9702188270490842
0.07607607607607608,0.9703150115289273
0.07707707707707707,0.9704143678665809
0.07807807807807808,0.9705168543185992
0.07907907907907907,0.9706224288187884
0.08008008008008008,0.9707310489851205
0.08108108108108109,0.970842672126773
0.08208208208208208,0.9709572552511588
0.08308308308308308,0.9710747550711
0.08408408408408408,0.9711951280120034
0.08508508508508508,0.9713183302191704
0.08608608608608609,0.971444317565095
0.08708708708708708,0.9715730456568886
0.08808808808808809,0.9717044698437257
0.0890890890890891,0.9718385452243928
0.09009009009009009,0.9719752266548454
0.09109109109109109,0.9721144687558667
0.0920920920920921,0.9722562259207488
0.09309309309309309,0.9724004523230813
0.0940940940940941,0.972547101924516
0.09509509509509509,0.9726961284826652
0.0960960960960961,0.9728474855590006
0.0970970970970971,0.9730011265268116
0.0980980980980981,0.9731570045792286
0.0990990990990991,0.9733150727372617
0.10010010010010009,0.9734752838579369
0.1011011011011011,0.9736375906424043
0.1021021021021021,0.9738019456441476
0.1031031031031031,0.9739683012772108
0.1041041041041041,0.9741366098244523
0.10510510510510511,0.9743068234458552
0.1061061061061061,0.9744788941868454
0.10710710710710711,0.9746527739866977
0.10810810810810811,0.9748284146868837
0.1091091091091091,0.9750057680395317
0.11011011011011011,0.9751847857158622
0.1111111111111111,0.9753654193146757
0.11211211211211211,0.9755476203708361
0.11311311311311312,0.9757313403637972
0.11411411411411411,0.9759165307261395
0.11511511511511512,0.9761031428521111
0.11611611611611611,0.9762911281062115
0.11711711711711711,0.9764804378317367
0.11811811811811812,0.976671023359391
0.11911911911911911,0.9768628360158581
0.12012012012012012,0.977055827132413
0.12112112112112113,0.9772499480535037
0.12212212212212212,0.9774451501453452
0.12312312312312312,0.9776413848045261
0.12412412412412413,0.9778386034665849
0.12512512512512514,0.9780367576145881
0.12612612612612611,0.9782357987877135
0.12712712712712712,0.9784356785897761
0.12812812812812813,0.9786363486978052
0.12912912912912913,0.9788377608705348
0.13013013013013014,0.9790398669569257
0.13113113113113112,0.9792426189046463
0.13213213213213212,0.9794459687685058
0.13313313313313313,0.9796498687188949
0.13413413413413414,0.9798542710501826
0.13513513513513514,0.9800591281890718
0.13613613613613612,0.9802643927029324
0.13713713713713713,0.9804700173080761
0.13813813813813813,0.9806759548780072
0.13913913913913914,0.9808821584516456
0.14014014014014015,0.9810885812414412
0.14114114114114115,0.9812951766415362
0.14214214214214213,0.9815018982357723
0.14314314314314314,0.9817086998057237
0.14414414414414414,0.981915535338636
0.14514514514514515,0.9821223590353051
0.14614614614614616,0.9823291253179193
0.14714714714714713,0.9825357888378043
0.14814814814814814,0.9827423044831299
0.14914914914914915,0.9829486273865278
0.15015015015015015,0.9831547129326613
0.15115115115115116,0.9833605167656786
0.15215215215215216,0.9835659947966426
0.15315315315315314,0.9837711032108419
0.15415415415415415,0.9839757984750417
0.15515515515515516,0.9841800373446299
