Gas,cp [kJ/kg.K],cv [kJ/kg.K],gamma,R [kJ/kg.K]
CO2,1.347077774325158,1.1581545750522655,1.1631243387907584,0.18892319927289253
H2O,2.733912646345187,2.272380034632725,1.203105380560632,0.46153261171246185
O2,1.1586056917830247,0.8987772542830248,1.289091024791533,0.2598284375
N2,1.2904556167479686,0.9936466352036856,1.29870677465077,0.29680898154428303
Ar,0.5203072590738422,0.31218435544430534,1.6666666666666667,0.20812290362953692
Mixture,1.291107087084008,1.0040201230021002,1.2859374603205111,0.28708415604900595
Viscosity [Pa.s],5.662751416932478e-05,,,
m_dot_core [kg/s],98.18181818181819,,,
m_dot_fuel [kg/s],1.6770455514768134,,,
