Stage,Ptc [bar],Ttc [K],Δh [kJ/kg],Tstat [K],Mach_axial,Pstat [bar],rho [kg/m³],Blade H. [m]
1,14.187349124839375,892.556062680686,74.53716818707366,867.6794279405411,0.44722137439903975,12.452756002576695,5.000624924367153,0.06197568151040899
2,17.455528526476936,948.7449294994395,75.13356942603463,924.065762494337,0.43336193581859594,15.441934270920127,5.822599560702369,0.05322659311096554
3,21.476561509661146,1004.9337963181931,75.70660928792105,980.4414313186895,0.42071827260852684,19.131598886895333,6.799041857057042,0.04558247238085676
4,26.423874452076053,1061.1226631369466,76.25745251346865,1036.8072179386288,0.4091223415867743,23.685172380897068,7.959698930198759,0.038935786439079904
5,32.51084400754681,1117.3115299557,76.78724009225591,1093.1638472765621,0.3984369180394778,29.304018858363463,9.340282847780326,0.033180701560792884
6,40.00000000000001,1173.5003967744535,77.29708926270449,1149.5119914510306,0.38854869019492044,36.23624342745003,10.983677320420663,0.028216154628778026
