span,V2ax_re,V2tang_re,T2_re,P2_re,rho2_re,s2_re,Y_tot_rotor_re
0.0,416.2767704869144,0.0,1408.1430522058683,16.84122252401879,4.165984145004865,1.193677760677029,0.19378701309920138
0.001001001001001001,416.2766150506062,0.0,1408.197352814845,16.84143478557198,4.165876007870014,1.1937239288825234,0.1937837772266009
0.002002002002002002,416.2764608006344,0.0,1408.2511015874034,16.841677399202048,4.165777019034513,1.1937690718981289,0.19377407010495573
0.003003003003003003,416.2763077285784,0.0,1408.304298722177,16.841950353566688,4.1656871739415955,1.1938131901797215,0.1937578932229308
0.004004004004004004,416.27615582603494,0.0,1408.3569444901,16.842253632989244,4.1656064667708605,1.1938562843254892,0.19373524906121165
0.005005005005005005,416.2760050846188,0.0,1408.4090392343578,16.842587217462288,4.165534890439527,1.1938983550758073,0.19370614109186995
0.006006006006006006,416.2758554959625,0.0,1408.4605833703283,16.842951082651815,4.165472436603849,1.1939394033130832,0.19367057377747693
0.007007007007007007,416.2757070517163,0.0,1408.5115773855061,16.84334519990273,4.165419095660897,1.193979430061573,0.19362855256996248
0.008008008008008008,416.2755597435482,0.0,1408.5620218394215,16.84376953624521,4.165374856750537,1.1940184364871684,0.19358008390922277
0.009009009009009009,416.2754135631439,0.0,1408.6119173635468,16.844224054401796,4.1653397077576315,1.1940564238971605,0.1935251752214751
0.01001001001001001,416.27526850220704,0.0,1408.6612646611827,16.844708712795732,4.165313635314582,1.1940933937399656,0.19346383491736174
0.011011011011011011,416.27512455245886,0.0,1408.7100645073501,16.845223465560068,4.165296624804033,1.1941293476048351,0.19339607238980272
0.012012012012012012,416.2749817056383,0.0,1408.7583177486495,16.84576826254781,4.165288660361923,1.1941642872215232,0.19332189801159877
0.013013013013013013,416.27483995350235,0.0,1408.8060253031244,16.84634304934283,4.165289724880678,1.1941982144599386,0.1932413231327848
0.014014014014014014,416.27469928782534,0.0,1408.8531881601098,16.846947767271978,4.165299800012755,1.1942311313297609,0.19315436007773562
0.015015015015015015,416.2745597003998,0.0,1408.8998073800622,16.847582353417998,4.165318866174407,1.1942630399800316,0.19306102214202397
0.016016016016016016,416.2744211830356,0.0,1408.9458840943892,16.84824674063326,4.165346902549644,1.1942939426987178,0.19296132358903284
0.017017017017017015,416.2742837275608,0.0,1408.9914195052538,16.848940857554606,4.16538388709453,1.1943238419122428,0.19285527964632265
0.018018018018018018,416.2741473258209,0.0,1409.0364148853848,16.849664628619095,4.165429796541666,1.194352740184999,0.19274290650175535
0.01901901901901902,416.2740119696792,0.0,1409.0808715778553,16.850417974080546,4.165484606404955,1.194380640218821,0.1926242212993755
0.02002002002002002,416.2738776510168,0.0,1409.1247909958681,16.85120081002706,4.165548290984572,1.1944075448524418,0.19249924213505165
0.02102102102102102,416.27374436173267,0.0,1409.1681746225192,16.852013048399616,4.1656208233722465,1.1944334570609154,0.1923679880518776
0.022022022022022022,416.27361209374334,0.0,1409.2110240105496,16.852854597011213,4.165702175456709,1.1944583799550117,0.19223047903533685
0.023023023023023025,416.2734808389833,0.0,1409.2533407820927,16.85372535956742,4.1657923179294825,1.1944823167805907,0.19208673600823095
0.024024024024024024,416.2733505894047,0.0,1409.2951266284012,16.85462523568721,4.165891220290778,1.19450527091794,0.19193678082537352
0.025025025025025023,416.2732213369773,0.0,1409.3363833095723,16.855554120925245,4.165998850855766,1.194527245881094,0.19178063626805292
0.026026026026026026,416.2730930736889,0.0,1409.3771126542522,16.85651190679477,4.1661151767610205,1.1945482453171221,0.19161832603826406
0.02702702702702703,416.2729657915449,0.0,1409.417316559335,16.857498480791378,4.166240163971195,1.194568273005389,0.19144987475271236
0.028028028028028028,416.27283948256843,0.0,1409.4569969896484,16.858513726417687,4.16637377728595,1.1945873328567937,0.19127530793659175
0.029029029029029027,416.2727141388005,0.0,1409.4961559776282,16.8595575232091,4.166515980347165,1.1946054289129764,0.1910946520171387
0.03003003003003003,416.27258975229984,0.0,1409.5347956229807,16.86062974675992,4.166666735646258,1.1946225653455023,0.19090793431696518
0.031031031031031032,416.27246631514276,0.0,1409.5729180923363,16.861730268751003,4.166826004531913,1.194638746455019,0.19071518304717167
0.03203203203203203,416.27234381942367,0.0,1409.6105256188866,16.86285895697742,4.1669937472178225,1.1946539766703892,0.19051642730024443
0.03303303303303303,416.2722222572544,0.0,1409.6476205020178,16.864015675378006,4.167169922790919,1.1946682605477945,0.19031169704273765
0.03403403403403403,416.2721016207647,0.0,1409.6842051069248,16.86520028406467,4.167354489219576,1.1946816027698173,0.19010102310774446
0.035035035035035036,416.27198190210214,0.0,1409.7202818642197,16.866412639353218,4.1675474033622,1.194694008144495,0.18988443718715897
0.036036036036036036,416.271863093432,0.0,1409.7558532695266,16.867652593794944,4.167748620976028,1.1947054816043507,0.1896619718237315
0.037037037037037035,416.2717451869372,0.0,1409.790921883066,16.868919996208614,4.167958096726057,1.194716028205399,0.18943366040292114
0.03803803803803804,416.27162817481855,0.0,1409.825490329228,16.870214691713723,4.168175784194291,1.1947256531261248,0.1891995371445469
0.03903903903903904,416.2715120492946,0.0,1409.8595612961324,16.871536521764334,4.168401635889183,1.194734361666441,0.18895963709424157
0.04004004004004004,416.27139680260154,0.0,1409.8931375351838,16.872885324183628,4.168635603255236,1.194742159246621,0.18871399611471074
0.04104104104104104,416.27128242699354,0.0,1409.9262218606045,16.87426093319937,4.168877636682898,1.194749051406205,0.18846265087680003
0.04204204204204204,416.27116891474236,0.0,1409.9588171489706,16.87566317948018,4.169127685518634,1.1947550438028864,0.18820563885037428
