span,V1ax_re,V1tang_re,T1_re,P1_re,rho1_re,s1_re,Y_tot_stator_re
0.0,332.81817686229016,625.1818430678624,1505.7402518818635,22.046805637171385,5.100190387435319,1.2028766822441241,0.1219002576621257
0.001001001001001001,332.81818323540426,625.1446321916628,1505.7582680100254,22.048092582763967,5.100427076135116,1.2028753724798438,0.12189789069581308
0.002002002002002002,332.8181904995108,625.1075165898936,1505.7762367076168,22.04941800626352,5.100672820898316,1.2028735218564872,0.121890790159802
0.003003003003003003,332.818198648723,625.0704961592198,1505.7941580343997,22.050781900858297,5.100927619645762,1.2028711306056643,0.12187895714301666
0.004004004004004004,332.8182076771659,625.0335707964562,1505.812032050028,22.052184253811443,5.1011914689298115,1.2028681990385999,0.12186239346002137
0.005005005005005005,332.81821757897717,624.9967403985661,1505.829858814047,22.053625046464365,5.101464363935193,1.2028647275460598,0.12184110165055667
0.006006006006006006,332.81822834830655,624.9600048626622,1505.8476383858947,22.055104254241577,5.101746298480211,1.2028607165982594,0.12181508497889065
0.007007007007007007,332.8182399793161,624.9233640860058,1505.8653708249008,22.056621846656586,5.102037265018172,1.2028561667447535,0.12178434743298455
0.008008008008008008,332.8182524661803,624.8868179660061,1505.8830561902878,22.05817778731932,5.10233725463918,1.2028510786143065,0.12174889372347411
0.009009009009009009,332.81826580308564,624.8503664002203,1505.900694541171,22.059772033944643,5.102646257072183,1.2028454529147445,0.12170872928246634
0.01001001001001001,332.8182799842312,624.8140092863541,1505.9182859365585,22.061404538362204,5.102964260687319,1.2028392904327891,0.12166386026215248
0.011011011011011011,332.8182950038281,624.7777465222599,1505.9358304353514,22.063075246527628,5.103291252498579,1.2028325920338727,0.12161429353323724
0.012012012012012012,332.8183108560999,624.7415780059378,1505.9533280963446,22.064784098534865,5.103627218166731,1.2028253586619337,0.12156003668318555
0.013013013013013013,332.8183275352824,624.7055036355348,1505.9707789782267,22.066531028629935,5.103972142002576,1.2028175913391963,0.12150109801428671
0.014014014014014014,332.8183450356235,624.6695233093444,1505.9881831395794,22.068315965225807,5.10432600697045,1.2028092911659287,0.1214374865415371
0.015015015015015015,332.8183633513837,624.6336369258066,1506.0055406388797,22.070138830918655,5.104688794692059,1.202800459320185,0.12136921199034215
0.016016016016016016,332.81838247683555,624.5978443835079,1506.0228515344975,22.071999542505267,5.105060485450574,1.202791097057529,0.12129628479403815
0.017017017017017015,332.818402406264,624.5621455811804,1506.0401158846985,22.07389801100188,5.105441058195048,1.2027812057107379,0.12121871609123494
0.018018018018018018,332.8184231339662,624.5265404177019,1506.0573337476424,22.075834141664004,5.105830490545073,1.2027707866894901,0.1211365177229809
0.01901901901901902,332.81844465425155,624.4910287920957,1506.0745051813838,22.077807834007803,5.10622875879579,1.2027598414800347,0.12104970222974995
0.02002002002002002,332.8184669614419,624.4556106035302,1506.091630243873,22.079818981832446,5.1066358379231165,1.2027483716448415,0.1209582828482533
0.02102102102102102,332.8184900498713,624.4202857513185,1506.1087089929554,22.081867473243815,5.1070517015893,1.2027363788222352,0.12086227350807571
0.022022022022022022,332.8185139138859,624.3850541349187,1506.1257414863721,22.083953190679505,5.107476322148759,1.2027238647260112,0.12076168882813826
0.023023023023023025,332.8185385478444,624.349915653933,1506.1427277817597,22.08607601093486,5.1079096706541725,1.2027108311450339,0.12065654411298857
0.024024024024024024,332.8185639461177,624.3148702081074,1506.1596679366517,22.088235805190493,5.108351716862892,1.202697279942817,0.12054685534891973
0.025025025025025023,332.81859010308887,624.2799176973324,1506.1765620084766,22.090432439040733,5.1088024292435925,1.2026832130570877,0.1204326391999197
0.026026026026026026,332.81861701315336,624.2450580216415,1506.1934100545607,22.092665772523468,5.10926177498323,1.2026686324993332,0.12031391300345207
0.02702702702702703,332.8186446707189,624.2102910812118,1506.2102121321263,22.094935660151137,5.109729719994263,1.20265354035433,0.12019069476607017
0.028028028028028028,332.81867307020553,624.1756167763638,1506.2269682982926,22.097241950942855,5.110206228922142,1.2026379387796562,0.1200630031588657
0.029029029029029027,332.8187022060454,624.1410350075598,1506.2436786100761,22.099584488457797,5.110691265153087,1.2026218300051887,0.11993085751275381
0.03003003003003003,332.8187320726832,624.1065456754058,1506.2603431243906,22.101963110829736,5.111184790822127,1.2026052163325809,0.11979427781359606
0.031031031031031032,332.8187626645757,624.072148680649,1506.2769618980478,22.104377650802753,5.111686766821409,1.202588100134726,0.11965328469716305
0.03203203203203203,332.81879397619196,624.0378439241798,1506.2935349877564,22.106827935767942,5.11219715280875,1.2025704838552056,0.11950789944393872
0.03303303303303303,332.8188260020135,624.0036313070294,1506.310062450124,22.109313787801607,5.1127159072165105,1.2025523700077172,0.11935814397376757
0.03403403403403403,332.81885873653397,623.9695107303712,1506.3265443416556,22.111835023704288,5.113242987260676,1.2025337611754918,0.11920404084034741
0.035035035035035036,332.8188921742593,623.9354820955194,1506.3429807187551,22.114391455040966,5.1137783489502056,1.202514660010691,0.11904561322556917
0.036036036036036036,332.81892630970776,623.9015453039298,1506.359371637725,22.11698288818257,5.114321947096672,1.202495069233792,0.11888288493370555
0.037037037037037035,332.81896113740976,623.8677002571982,1506.3757171547663,22.119609124348344,5.114873735324115,1.202474991632954,0.1187158803854513
0.03803803803803804,332.8189966519083,623.8339468570615,1506.3920173259794,22.12226995964954,5.115433666079185,1.202454430063373,0.11854462461181622
0.03903903903903904,332.81903284775836,623.8002850053971,1506.408272207364,22.124965185133973,5.116001690641496,1.2024333874466184,0.11836914324787384
