span,V1tang_re,V1ax_re,T1t_re,T1_re,P1_re,rho1_re,secondary_loss,distributed_Y_other_stator
0.0,625.1818430678624,332.0411836014055,1700.0,1505.940309087411,23.190939533997643,5.364155520775814,1.0,0.0190104941599517
0.001001001001001001,625.1446321916628,332.0411836014055,1700.0,1505.9583268584174,23.1921874045233,5.364379976196461,0.9999769951234014,0.0190104941599517
0.002002002002002002,625.1075165898936,332.0411836014055,1700.0,1505.976297428531,23.193432058030726,5.364603850294582,0.9999079840209422,0.0190104941599517
0.003003003003003003,625.0704961592198,332.0411836014055,1700.0,1505.9942208559964,23.194673498146468,5.364827143743359,0.9997929772760282,0.0190104941599517
0.004004004004004004,625.0335707964562,332.0411836014055,1700.0,1506.0120971989531,23.195911728491556,5.365049857214888,0.9996319925246642,0.0190104941599517
0.005005005005005005,624.9967403985661,332.0411836014055,1700.0,1506.0299265154351,23.197146752681416,5.3652719913801805,0.9994250544509438,0.0190104941599517
0.006006006006006006,624.9600048626622,332.0411836014055,1700.0,1506.0477088633725,23.198378574325936,5.365493546909156,0.9991721947807447,0.0190104941599517
0.007007007007007007,624.9233640860058,332.0411836014055,1700.0,1506.0654443005901,23.19960719702949,5.3657145244706586,0.99887345227362,0.0190104941599517
0.008008008008008008,624.8868179660061,332.0411836014055,1700.0,1506.0831328848087,23.2008326243909,5.365934924732453,0.9985288727128974,0.0190104941599517
0.009009009009009009,624.8503664002203,332.0411836014055,1700.0,1506.100774673645,23.20205486000346,5.366154748361213,0.9981385088939844,0.0190104941599517
0.01001001001001001,624.8140092863541,332.0411836014055,1700.0,1506.1183697246117,23.203273907455,5.3663739960225545,0.9977024206108878,0.0190104941599517
0.011011011011011011,624.7777465222599,332.0411836014055,1700.0,1506.135918095118,23.204489770327797,5.366592668381004,0.997220674640948,0.0190104941599517
0.012012012012012012,624.7415780059378,332.0411836014055,1700.0,1506.1534198424697,23.205702452198686,5.3668107661000235,0.9966933447277975,0.0190104941599517
0.013013013013013013,624.7055036355348,332.0411836014055,1700.0,1506.170875023869,23.206911956638958,5.367028289841997,0.9961205115625468,0.0190104941599517
0.014014014014014014,624.6695233093444,332.0411836014055,1700.0,1506.1882836964157,23.208118287214532,5.367245240268254,0.9955022627632067,0.0190104941599517
0.015015015015015015,624.6336369258066,332.0411836014055,1700.0,1506.2056459171067,23.20932144748581,5.367461618039052,0.9948386928523525,0.0190104941599517
0.016016016016016016,624.5978443835079,332.0411836014055,1700.0,1506.2229617428359,23.21052144100773,5.367677423813578,0.9941299032330384,0.0190104941599517
0.017017017017017015,624.5621455811804,332.0411836014055,1700.0,1506.2402312303955,23.21171827132982,5.367892658249959,0.9933760021629718,0.0190104941599517
0.018018018018018018,624.5265404177019,332.0411836014055,1700.0,1506.2574544364754,23.212911941996207,5.368107322005279,0.9925771047269569,0.0190104941599517
0.01901901901901902,624.4910287920957,332.0411836014055,1700.0,1506.2746314176636,23.214102456545522,5.368321415735537,0.9917333328076143,0.0190104941599517
0.02002002002002002,624.4556106035302,332.0411836014055,1700.0,1506.2917622304462,23.21528981851103,5.368534940095692,0.9908448150543909,0.0190104941599517
0.02102102102102102,624.4202857513185,332.0411836014055,1700.0,1506.3088469312083,23.216474031420617,5.3687478957396495,0.9899116868508688,0.0190104941599517
0.022022022022022022,624.3850541349187,332.0411836014055,1700.0,1506.3258855762338,23.21765509879677,5.368960283320267,0.9889340902803867,0.0190104941599517
0.023023023023023025,624.349915653933,332.0411836014055,1700.0,1506.3428782217047,23.218833024156528,5.369172103489332,0.9879121740899829,0.0190104941599517
0.024024024024024024,624.3148702081074,332.0411836014055,1700.0,1506.3598249237039,23.22000781101167,5.369383356897608,0.9868460936526756,0.0190104941599517
0.025025025025025023,624.2799176973324,332.0411836014055,1700.0,1506.376725738212,23.22117946286853,5.369594044194803,0.985736010928094,0.0190104941599517
0.026026026026026026,624.2450580216415,332.0411836014055,1700.0,1506.3935807211103,23.222347983228133,5.369804166029578,0.9845820944214718,0.0190104941599517
0.02702702702702703,624.2102910812118,332.0411836014055,1700.0,1506.4103899281797,23.223513375586144,5.370013723049559,0.9833845191410184,0.0190104941599517
0.028028028028028028,624.1756167763638,332.0411836014055,1700.0,1506.4271534151012,23.224675643432892,5.370222715901323,0.9821434665536852,0.0190104941599517
0.029029029029029027,624.1410350075598,332.0411836014055,1700.0,1506.4438712374563,23.225834790253426,5.370431145230425,0.9808591245393399,0.0190104941599517
0.03003003003003003,624.1065456754058,332.0411836014055,1700.0,1506.4605434507262,23.2269908195274,5.370639011681365,0.9795316873433658,0.0190104941599517
0.031031031031031032,624.072148680649,332.0411836014055,1700.0,1506.477170110294,23.22814373472925,5.370846315897625,0.9781613555277036,0.0190104941599517
0.03203203203203203,624.0378439241798,332.0411836014055,1700.0,1506.4937512714432,23.229293539328093,5.371053058521649,0.9767483359203519,0.0190104941599517
0.03303303303303303,624.0036313070294,332.0411836014055,1700.0,1506.510286989358,23.230440236787725,5.371259240194848,0.9752928415633455,0.0190104941599517
0.03403403403403403,623.9695107303712,332.0411836014055,1700.0,1506.5267773191247,23.231583830566688,5.371464861557606,0.9737950916592271,0.0190104941599517
0.035035035035035036,623.9354820955194,332.0411836014055,1700.0,1506.5432223157309,23.232724324118298,5.371669923249292,0.9722553115160362,0.0190104941599517
0.036036036036036036,623.9015453039298,332.0411836014055,1700.0,1506.5596220340658,23.233861720890577,5.371874425908239,0.9706737324908287,0.0190104941599517
