span,r_prime,V2ax_re,V2tang_re,T2t_re,T2trel_re,V2_re,T2_re,P2_re,rho2_re,secondary_profile,tip_clearance_profile,distributed_Y_other_2
0.0,0.15344596184490605,448.53372647365535,0.0,1473.447471390136,1535.9440036336312,448.53372647365535,1395.536620386011,15.663764402863437,3.9097202187970295,1.0,1.9287498479639315e-22,0.05312672367846909
0.001001001001001001,0.15350149799917792,448.53372647365535,0.0,1473.447471390136,1535.9892501178613,448.53372647365535,1395.536620386011,15.66383586583162,3.9097380561574755,0.9999769951234014,2.131704822682324e-22,0.05312672367846909
0.002002002002002002,0.1535570341534498,448.53372647365535,0.0,1473.447471390136,1536.0345129750287,448.53372647365535,1395.536620386011,15.663936839547265,3.9097632594845604,0.9999079840209422,2.355779912004391e-22,0.05312672367846909
0.003003003003003003,0.15361257030772166,448.53372647365535,0.0,1473.447471390136,1536.0797922051331,448.53372647365535,1395.536620386011,15.66406731194382,3.909795825766438,0.9997929772760282,2.6031479035514707e-22,0.05312672367846909
0.004004004004004004,0.15366810646199353,448.53372647365535,0.0,1473.447471390136,1536.1250878081746,448.53372647365535,1395.536620386011,15.664227266776988,3.9098357509484853,0.9996319925246642,2.8762024890532534e-22,0.05312672367846909
0.005005005005005005,0.1537236426162654,448.53372647365535,0.0,1473.447471390136,1536.1703997841532,448.53372647365535,1395.536620386011,15.664416683628236,3.9098830299341785,0.9994250544509438,3.1775804506571626e-22,0.05312672367846909
0.006006006006006006,0.15377917877053726,448.53372647365535,0.0,1473.447471390136,1536.2157281330692,448.53372647365535,1395.536620386011,15.664635537909195,3.9099376565861905,0.9991721947807447,3.510186047512614e-22,0.05312672367846909
0.007007007007007007,0.15383471492480913,448.53372647365535,0.0,1473.447471390136,1536.261072854922,448.53372647365535,1395.536620386011,15.664883800866923,3.9099996237277055,0.99887345227362,3.8772178179988435e-22,0.05312672367846909
0.008008008008008008,0.153890251079081,448.53372647365535,0.0,1473.447471390136,1536.3064339497118,448.53372647365535,1395.536620386011,15.665161439590152,3.9100689231439767,0.9985288727128974,4.282198033760084e-22,0.05312672367846909
0.009009009009009009,0.1539457872333529,448.53372647365535,0.0,1473.447471390136,1536.3518114174392,448.53372647365535,1395.536620386011,15.665468417016362,3.910145545584094,0.9981385088939844,4.729005064487212e-22,0.05312672367846909
0.01001001001001001,0.15400132338762476,448.53372647365535,0.0,1473.447471390136,1536.3972052581032,448.53372647365535,1395.536620386011,15.665804691939751,3.910229480762972,0.9977024206108878,5.221908937328497e-22,0.05312672367846909
0.011011011011011011,0.15405685954189663,448.53372647365535,0.0,1473.447471390136,1536.4426154717046,448.53372647365535,1395.536620386011,15.66617021902017,3.9103207173635792,0.997220674640948,5.765610402119158e-22,0.05312672367846909
0.012012012012012012,0.1541123956961685,448.53372647365535,0.0,1473.447471390136,1536.488042058243,448.53372647365535,1395.536620386011,15.666564948792846,3.910419243039368,0.9966933447277975,6.365283843523444e-22,0.05312672367846909
0.013013013013013013,0.15416793185044037,448.53372647365535,0.0,1473.447471390136,1536.5334850177187,448.53372647365535,1395.536620386011,15.666988827679141,3.910525044416958,0.9961205115625468,7.026624413911187e-22,0.05312672367846909
0.014014014014014014,0.15422346800471223,448.53372647365535,0.0,1473.447471390136,1536.5789443501315,448.53372647365535,1395.536620386011,15.667441797998015,3.910638107098997,0.9955022627632067,7.755899796623374e-22,0.05312672367846909
0.015015015015015015,0.1542790041589841,448.53372647365535,0.0,1473.447471390136,1536.624420055481,448.53372647365535,1395.536620386011,15.66792379797853,3.910758415667283,0.9948386928523525,8.560007048493609e-22,0.05312672367846909
0.016016016016016016,0.15433454031325597,448.53372647365535,0.0,1473.447471390136,1536.669912133768,448.53372647365535,1395.536620386011,15.668434761773142,3.910885953686082,0.9941299032330384,9.44653501340488e-22,0.05312672367846909
0.017017017017017015,0.15439007646752784,448.53372647365535,0.0,1473.447471390136,1536.715420584992,448.53372647365535,1395.536620386011,15.668974619471953,3.9110207037056828,0.9933760021629718,1.0423832845623465e-21,0.05312672367846909
0.018018018018018018,0.1544456126217997,448.53372647365535,0.0,1473.447471390136,1536.7609454091532,448.53372647365535,1395.536620386011,15.669543297117725,3.9111626472661496,0.9925771047269569,1.1501085233024928e-21,0.05312672367846909
0.01901901901901902,0.15450114877607157,448.53372647365535,0.0,1473.447471390136,1536.8064866062514,448.53372647365535,1395.536620386011,15.670140716721935,3.911311764901324,0.9917333328076143,1.2688394966536369e-21,0.05312672367846909
0.02002002002002002,0.15455668493034344,448.53372647365535,0.0,1473.447471390136,1536.8520441762867,448.53372647365535,1395.536620386011,15.670766796281463,3.911468036142994,0.9908448150543909,1.3996873563604182e-21,0.05312672367846909
0.02102102102102102,0.1546122210846153,448.53372647365535,0.0,1473.447471390136,1536.8976181192593,448.53372647365535,1395.536620386011,15.671421449796386,3.9116314395253338,0.9899116868508688,1.5438740720738409e-21,0.05312672367846909
0.022022022022022022,0.15466775723888718,448.53372647365535,0.0,1473.447471390136,1536.9432084351688,448.53372647365535,1395.536620386011,15.672104587288477,3.911801952589521,0.9889340902803867,1.7027433443735386e-21,0.05312672367846909
0.023023023023023025,0.15472329339315904,448.53372647365535,0.0,1473.447471390136,1536.9888151240154,448.53372647365535,1395.536620386011,15.672816114820591,3.911979551888578,0.9879121740899829,1.8777725784596652e-21,0.05312672367846909
0.024024024024024024,0.1547788295474309,448.53372647365535,0.0,1473.447471390136,1537.0344381857992,448.53372647365535,1395.536620386011,15.673555934516973,3.912164212992436,0.9868460936526756,2.070586020209401e-21,0.05312672367846909
